Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
177,9.0,51,261.95965603024433,7381
178,19.0508547008547,93,281.01051073109903,7474
179,10.0,65,291.01051073109903,7539
180,0,0,291.01051073109903,7539
181,6.5,101,297.51051073109903,7640
182,7.372619047619048,92,304.88312977871806,7732
183,7.2,17,312.08312977871805,7749
184,-0.6333333333333333,28,311.4497964453847,7777
185,2.5,49,313.9497964453847,7826
186,2.0,52,315.9497964453847,7878
187,11.6,64,327.54979644538474,7942
188,-6.738095238095238,120,320.8117012072895,8062
189,-3.6333333333333337,26,317.1783678739562,8088
190,-1.6666666666666667,32,315.5117012072895,8120
191,1.0,12,316.5117012072895,8132
192,0.2,37,316.7117012072895,8169
193,-1.333333333333333,44,315.37836787395617,8213
194,-2.166666666666667,27,313.2117012072895,8240
195,-1.8095238095238093,37,311.4021773977657,8277
196,-10.0,26,301.4021773977657,8303
197,-3.5,39,297.9021773977657,8342
198,-0.19999999999999984,24,297.7021773977657,8366
199,-2.8999999999999995,129,294.8021773977657,8495
200,-5.380952380952381,47,289.4212250168133,8542
201,-5.0,22,284.4212250168133,8564
202,-3.5,19,280.9212250168133,8583
203,-2.25,27,278.6712250168133,8610
204,1.1944444444444446,28,279.86566946125777,8638
205,-5.888888888888889,43,273.97678057236885,8681
206,1.45,37,275.42678057236884,8718
207,-3.5,18,271.92678057236884,8736
208,-1.0499999999999998,29,270.87678057236883,8765
209,1.333333333333333,16,272.21011390570214,8781
210,-3.7,45,268.51011390570216,8826
211,-2.1142857142857143,36,266.39582819141646,8862
212,0.6,20,266.9958281914165,8882
213,-5.25,52,261.7458281914165,8934
214,-2.0,25,259.7458281914165,8959
215,-2.0,31,257.7458281914165,8990
216,-1.5,22,256.2458281914165,9012
217,-12.566666666666666,91,243.67916152474982,9103
218,-9.0,25,234.67916152474982,9128
219,7.0,25,241.67916152474982,9153
220,0.0,6,241.67916152474982,9159
221,1.0,20,242.67916152474982,9179
222,-2.0,34,240.67916152474982,9213
223,2.0,22,242.67916152474982,9235
224,7.0,32,249.67916152474982,9267
225,1.2000000000000002,17,250.8791615247498,9284
226,-0.5,24,250.3791615247498,9308
227,-8.466666666666667,112,241.91249485808314,9420
228,-0.666666666666667,31,241.24582819141648,9451
229,-1.5,98,239.74582819141648,9549
230,1.3333333333333335,11,241.07916152474982,9560
231,-1.8,8,239.2791615247498,9568
232,-1.8,21,237.4791615247498,9589
233,17.5,83,254.9791615247498,9672
234,-9.95,24,245.0291615247498,9696
235,-12.25,27,232.7791615247498,9723
236,-46.25,194,186.5291615247498,9917
237,-3.9000000000000004,57,182.6291615247498,9974
238,-1.7999999999999998,25,180.8291615247498,9999
239,2.0,8,182.8291615247498,10007
240,-20.0,219,162.8291615247498,10226
241,2.5,29,165.3291615247498,10255
242,-2.0,15,163.3291615247498,10270
243,2.0,18,165.3291615247498,10288
244,-3.5,38,161.8291615247498,10326
245,0.0,4,161.8291615247498,10330
246,-8.088888888888889,43,153.7402726358609,10373
247,-13.0,21,140.7402726358609,10394
248,-9.666666666666668,30,131.07360596919423,10424
249,0.0,11,131.07360596919423,10435
250,1.666666666666666,45,132.7402726358609,10480
251,-1.8888888888888888,11,130.851383746972,10491
252,1.75,23,132.601383746972,10514
253,2.0,17,134.601383746972,10531
254,-4.525,86,130.076383746972,10617
255,-4.0,12,126.076383746972,10629
256,-12.444444444444445,44,113.63193930252756,10673
257,-5.3,53,108.33193930252756,10726
258,7.408333333333333,27,115.74027263586089,10753
259,-3.0,15,112.74027263586089,10768
260,0.33333333333333337,47,113.07360596919422,10815
261,4.783333333333333,48,117.85693930252755,10863
262,20.208333333333332,66,138.06527263586088,10929
263,14.5,28,152.56527263586088,10957
264,16.0,53,168.56527263586088,11010
