Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
118,0.0,1,237.03791486291482,1537
119,0.0,26,237.03791486291482,1563
120,0.0,2,237.03791486291482,1565
121,0.0,43,237.03791486291482,1608
122,0.0,1,237.03791486291482,1609
123,-2.0,18,235.03791486291482,1627
124,0.0,1,235.03791486291482,1628
125,-5.0,37,230.03791486291482,1665
126,0.0,1,230.03791486291482,1666
127,-1.0,1,229.03791486291482,1667
128,-1.0,17,228.03791486291482,1684
129,0.0,2,228.03791486291482,1686
130,-1.0,25,227.03791486291482,1711
131,2.5,17,229.53791486291482,1728
132,0.0,1,229.53791486291482,1729
133,2.6666666666666665,8,232.20458152958147,1737
134,4.0588235294117645,41,236.26340505899324,1778
135,0.0,1,236.26340505899324,1779
136,-2.9999999999999996,14,233.26340505899324,1793
137,0.0,1,233.26340505899324,1794
138,3.6666666666666665,22,236.9300717256599,1816
139,0.0,1,236.9300717256599,1817
140,2.708333333333333,22,239.63840505899324,1839
141,0.0,1,239.63840505899324,1840
142,21.77857142857143,56,261.4169764875647,1896
143,0.0,1,261.4169764875647,1897
144,-1.0,15,260.4169764875647,1912
145,0.0,1,260.4169764875647,1913
146,3.666666666666666,11,264.08364315423137,1924
147,0.0,1,264.08364315423137,1925
148,-1.0,16,263.08364315423137,1941
149,0.0,2,263.08364315423137,1943
150,-2.4,26,260.6836431542314,1969
151,0.0,1,260.6836431542314,1970
152,1.75,14,262.4336431542314,1984
153,0.0,1,262.4336431542314,1985
154,3.0,25,265.4336431542314,2010
155,0.0,1,265.4336431542314,2011
156,-11.333333333333332,22,254.10030982089805,2033
157,-1.125,18,252.97530982089805,2051
158,0.0,1,252.97530982089805,2052
159,0.5555555555555556,27,253.5308653764536,2079
160,0.0,1,253.5308653764536,2080
161,-4.0,17,249.5308653764536,2097
162,0.0,1,249.5308653764536,2098
163,-1.0,10,248.5308653764536,2108
164,2.0,17,250.5308653764536,2125
165,8.5,23,259.03086537645356,2148
166,0.0,1,259.03086537645356,2149
167,-8.5,26,250.53086537645356,2175
168,0.0,1,250.53086537645356,2176
169,2.5555555555555554,19,253.0864209320091,2195
170,-4.0,15,249.0864209320091,2210
171,0.0,1,249.0864209320091,2211
172,0.0,22,249.0864209320091,2233
173,0.0,1,249.0864209320091,2234
174,-6.0,44,243.0864209320091,2278
175,0.0,1,243.0864209320091,2279
176,0.0,22,243.0864209320091,2301
177,-1.3333333333333333,5,241.75308759867576,2306
178,0.0,2,241.75308759867576,2308
179,4.0,38,245.75308759867576,2346
180,0.0,2,245.75308759867576,2348
181,7.0,35,252.75308759867576,2383
182,0.0,2,252.75308759867576,2385
183,-4.0,19,248.75308759867576,2404
184,0.0,1,248.75308759867576,2405
185,-2.0000000000000004,53,246.75308759867576,2458
186,0.0,1,246.75308759867576,2459
187,-1.3333333333333333,11,245.41975426534242,2470
188,0.0,2,245.41975426534242,2472
189,1.0,43,246.41975426534242,2515
190,0.0,1,246.41975426534242,2516
191,3.0,18,249.41975426534242,2534
192,0.0,1,249.41975426534242,2535
193,2.5,14,251.91975426534242,2549
194,0.0,1,251.91975426534242,2550
195,5.875,35,257.7947542653424,2585
196,0.0,1,257.7947542653424,2586
197,-1.333333333333333,49,256.4614209320091,2635
198,0.0,1,256.4614209320091,2636
199,13.055555555555555,34,269.51697648756465,2670
200,0.0,1,269.51697648756465,2671
201,6.5,11,276.01697648756465,2682
202,0.0,1,276.01697648756465,2683
203,7.5,23,283.51697648756465,2706
204,1.833333333333334,84,285.35030982089796,2790
205,0.0,1,285.35030982089796,2791
206,10.5,36,295.85030982089796,2827
207,0.0,1,295.85030982089796,2828
208,3.5,26,299.35030982089796,2854
209,0.0,1,299.35030982089796,2855
210,-4.5,29,294.85030982089796,2884
211,0.0,1,294.85030982089796,2885
212,3.833333333333333,22,298.6836431542313,2907
213,0.0,2,298.6836431542313,2909
214,6.0,13,304.6836431542313,2922
215,6.80952380952381,66,311.4931669637551,2988
216,0.0,1,311.4931669637551,2989
217,-3.133333333333333,21,308.35983363042175,3010
218,0.0,1,308.35983363042175,3011
219,0.0,33,308.35983363042175,3044
220,0.0,1,308.35983363042175,3045
221,-0.1333333333333333,17,308.2265002970884,3062
222,0.0,1,308.2265002970884,3063
223,-1.0,4,307.2265002970884,3067
224,-1.8714285714285712,32,305.35507172565985,3099
225,0.0,1,305.35507172565985,3100
226,-1.3333333333333333,10,304.02173839232654,3110
227,0.0,1,304.02173839232654,3111
228,-10.441176470588236,33,293.5805619217383,3144
229,0.0,1,293.5805619217383,3145
230,-1.333333333333333,21,292.247228588405,3166
231,0.0,1,292.247228588405,3167
232,5.033333333333333,31,297.28056192173835,3198
233,0.0,1,297.28056192173835,3199
234,-0.7000000000000002,21,296.58056192173837,3220
235,0.0,1,296.58056192173837,3221
236,8.5,31,305.08056192173837,3252
237,0.0,1,305.08056192173837,3253
238,-6.0,17,299.08056192173837,3270
239,-2.0,7,297.08056192173837,3277
240,0.0,1,297.08056192173837,3278
241,-2.3333333333333335,11,294.74722858840505,3289
242,-8.107843137254902,49,286.63938545115013,3338
243,0.0,1,286.63938545115013,3339
244,-1.7166666666666663,39,284.9227187844835,3378
245,0.0,1,284.9227187844835,3379
246,-8.0,18,276.9227187844835,3397
247,1.4416666666666662,44,278.36438545115016,3441
248,0.0,1,278.36438545115016,3442
249,0.20000000000000018,21,278.56438545115014,3463
