Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1416,-2.5666666666666664,39,-550.79010589439,40131
1417,-1.0,16,-551.79010589439,40147
1418,2.0,17,-549.79010589439,40164
1419,3.185714285714286,15,-546.6043916086757,40179
1420,-0.1428571428571428,16,-546.7472487515328,40195
1421,-1.7142857142857142,3,-548.4615344658184,40198
1422,9.055555555555555,13,-539.4059789102629,40211
1423,3.0,32,-536.4059789102629,40243
1424,2.5,16,-533.9059789102629,40259
1425,0.0,16,-533.9059789102629,40275
1426,-1.0,16,-534.9059789102629,40291
1427,-5.833333333333333,34,-540.7393122435963,40325
1428,-3.3304347826086955,44,-544.0697470262049,40369
1429,2.033333333333333,16,-542.0364136928716,40385
1430,-1.7999999999999998,22,-543.8364136928716,40407
1431,-7.9,26,-551.7364136928716,40433
1432,-0.5054945054945057,13,-552.2419081983661,40446
1433,-4.347619047619047,17,-556.5895272459851,40463
1434,-1.0,15,-557.5895272459851,40478
1435,-1.8333333333333337,43,-559.4228605793185,40521
1436,1.0,14,-558.4228605793185,40535
1437,6.363636363636363,35,-552.0592242156821,40570
1438,7.271428571428571,20,-544.7877956442535,40590
1439,18.0,48,-526.7877956442535,40638
1440,3.571428571428571,16,-523.2163670728249,40654
1441,3.0,20,-520.2163670728249,40674
1442,4.333333333333333,61,-515.8830337394916,40735
1443,-3.333333333333333,7,-519.2163670728249,40742
1444,10.733333333333334,25,-508.4830337394916,40767
1445,2.2857142857142856,14,-506.1973194537773,40781
1446,-2.3333333333333335,15,-508.5306527871106,40796
1447,0.3333333333333335,17,-508.1973194537773,40813
1448,4.0588235294117645,28,-504.13849592436554,40841
1449,7.755555555555555,41,-496.38294036881,40882
1450,0.0,17,-496.38294036881,40899
1451,5.666666666666667,13,-490.7162737021433,40912
1452,5.166666666666667,33,-485.54960703547664,40945
1453,5.575,16,-479.97460703547665,40961
1454,0.24935064935064943,32,-479.725256386126,40993
1455,2.6,32,-477.12525638612595,41025
1456,6.0,34,-471.12525638612595,41059
1457,-4.966666666666667,16,-476.0919230527926,41075
1458,-1.8095238095238093,27,-477.9014468623164,41102
1459,1.5,15,-476.4014468623164,41117
1460,-0.20238095238095255,49,-476.60382781469735,41166
1461,0.0,18,-476.60382781469735,41184
1462,11.0,47,-465.60382781469735,41231
1463,5.333333333333333,61,-460.27049448136404,41292
1464,-4.0,14,-464.27049448136404,41306
1465,-1.5,16,-465.77049448136404,41322
1466,-17.0,29,-482.77049448136404,41351
1467,0.0,14,-482.77049448136404,41365
1468,1.066666666666667,25,-481.7038278146974,41390
1469,0.9230769230769229,19,-480.78075089162047,41409
1470,10.5,22,-470.28075089162047,41431
1471,-8.166666666666668,37,-478.44741755828716,41468
1472,-7.5,15,-485.94741755828716,41483
1473,-3.666666666666667,46,-489.61408422495384,41529
1474,1.0333333333333334,25,-488.5807508916205,41554
1475,-4.05,16,-492.6307508916205,41570
1476,-1.0,15,-493.6307508916205,41585
1477,-0.5,8,-494.1307508916205,41593
1478,-0.5,7,-494.6307508916205,41600
1479,-8.904761904761905,66,-503.5355127963824,41666
1480,1.0,1,-502.5355127963824,41667
1481,-7.5,35,-510.0355127963824,41702
1482,-5.0,34,-515.0355127963824,41736
1483,-3.3333333333333335,7,-518.3688461297157,41743
1484,1.0,7,-517.3688461297157,41750
1485,1.0,9,-516.3688461297157,41759
1486,-2.5,9,-518.8688461297157,41768
1487,-5.9411764705882355,21,-524.810022600304,41789
1488,3.333333333333333,16,-521.4766892669707,41805
1489,-4.0,18,-525.4766892669707,41823
1490,3.5,17,-521.9766892669707,41840
1491,-15.904761904761905,32,-537.8814511717326,41872
1492,-4.0,16,-541.8814511717326,41888
1493,1.128571428571429,35,-540.7528797431612,41923
1494,0.0,15,-540.7528797431612,41938
1495,-0.5,18,-541.2528797431612,41956
1496,-6.883333333333333,32,-548.1362130764945,41988
1497,-6.5,32,-554.6362130764945,42020
1498,-6.05,17,-560.6862130764945,42037
1499,0.6666666666666666,26,-560.0195464098279,42063
1500,-4.8277777777777775,49,-564.8473241876056,42112
1501,-11.226984126984128,32,-576.0743083145898,42144
1502,-12.0,16,-588.0743083145898,42160
1503,8.25,31,-579.8243083145898,42191
1504,2.5,19,-577.3243083145898,42210
1505,1.65,48,-575.6743083145898,42258
1506,-7.3,16,-582.9743083145897,42274
1507,1.666666666666666,46,-581.3076416479231,42320
1508,-8.833333333333332,22,-590.1409749812565,42342
1509,-1.5,12,-591.6409749812565,42354
1510,7.916666666666666,31,-583.7243083145898,42385
1511,9.142857142857142,71,-574.5814511717327,42456
1512,2.2,17,-572.3814511717327,42473
1513,3.333333333333334,67,-569.0481178383993,42540
1514,0.0,34,-569.0481178383993,42574
1515,-3.5,77,-572.5481178383993,42651
1516,2.25,31,-570.2981178383993,42682
1517,-1.7857142857142856,16,-572.0838321241137,42698
1518,-2.4102564102564106,42,-574.4940885343701,42740
1519,-4.333333333333334,16,-578.8274218677035,42756
1520,4.075,18,-574.7524218677034,42774
1521,-1.0,3,-575.7524218677034,42777
1522,0.4222222222222223,28,-575.3301996454812,42805
1523,4.795238095238095,51,-570.5349615502431,42856
1524,9.25,21,-561.2849615502431,42877
1525,-0.8888888888888888,11,-562.173850439132,42888
1526,5.363636363636363,15,-556.8102140754957,42903
1527,-0.5,15,-557.3102140754957,42918
1528,3.0,15,-554.3102140754957,42933
1529,8.083333333333332,33,-546.2268807421623,42966
1530,-0.2999999999999998,15,-546.5268807421622,42981
1531,1.8333333333333333,24,-544.6935474088289,43005
