Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score
116,4.0,38,-12.198346261581563
117,-3.6666666666666665,29,-15.865012928248229
118,1.4285714285714286,34,-14.4364414996768
119,-1.0,23,-15.4364414996768
120,-1.8333333333333333,14,-17.269774833010132
121,-2.0,26,-19.269774833010132
122,0.3333333333333333,2,-18.9364414996768
123,0.0,4,-18.9364414996768
124,-1.25,30,-20.1864414996768
125,1.0,8,-19.1864414996768
126,2.2,3,-16.9864414996768
127,-0.5,9,-17.4864414996768
128,-0.5,12,-17.9864414996768
129,0.0,3,-17.9864414996768
130,1.0,4,-16.9864414996768
131,3.0,2,-13.9864414996768
132,-1.0,23,-14.9864414996768
133,4.625,24,-10.3614414996768
134,4.375,8,-5.9864414996768005
135,-7.071428571428573,28,-13.057870071105373
136,1.6666666666666665,9,-11.391203404438707
137,0.0,2,-11.391203404438707
138,3.0,11,-8.391203404438707
139,1.0,12,-7.391203404438707
140,0.0,1,-7.391203404438707
141,-3.0,9,-10.391203404438707
142,0.0,9,-10.391203404438707
143,0.5,10,-9.891203404438707
144,0.20000000000000018,5,-9.691203404438706
145,-2.0,2,-11.691203404438706
146,-1.5,18,-13.191203404438706
147,3.8333333333333335,14,-9.357870071105372
148,-5.038095238095237,43,-14.395965309200609
149,0.0,1,-14.395965309200609
150,-2.5,8,-16.89596530920061
151,1.6666666666666665,10,-15.229298642533942
152,-0.75,22,-15.979298642533942
153,-1.0,6,-16.97929864253394
154,-1.0,2,-17.97929864253394
155,-2.966666666666667,10,-20.94596530920061
156,2.0,9,-18.94596530920061
157,-3.0,7,-21.94596530920061
158,-2.9047619047619047,15,-24.850727213962514
159,-2.0,10,-26.850727213962514
160,3.666666666666667,36,-23.184060547295847
161,4.95,26,-18.234060547295847
162,-0.621428571428571,42,-18.855489118724417
163,-2.0,12,-20.855489118724417
164,0.75,19,-20.105489118724417
165,-1.0,7,-21.105489118724417
166,0.0,4,-21.105489118724417
167,0.0,1,-21.105489118724417
168,2.0,3,-19.105489118724417
169,-4.0,10,-23.105489118724417
170,-2.0,6,-25.105489118724417
171,-1.0,5,-26.105489118724417
172,0.3333333333333333,2,-25.772155785391085
173,0.0,9,-25.772155785391085
174,0.0,1,-25.772155785391085
175,0.0,4,-25.772155785391085
176,0.0,2,-25.772155785391085
177,2.0,11,-23.772155785391085
178,7.0,19,-16.772155785391085
179,-0.2333333333333334,30,-17.00548911872442
180,0.0,32,-17.00548911872442
181,-2.0,4,-19.00548911872442
182,-0.25,8,-19.25548911872442
183,4.933333333333334,38,-14.322155785391086
184,-0.4444444444444444,15,-14.76660022983553
185,1.0,5,-13.76660022983553
186,0.666666666666667,17,-13.099933563168864
187,-0.7333333333333332,17,-13.833266896502197
188,-5.4,26,-19.233266896502197
189,3.878787878787879,21,-15.354479017714318
190,-1.5,23,-16.85447901771432
191,0.0,3,-16.85447901771432
192,1.0,23,-15.854479017714318
193,2.0,12,-13.854479017714318
194,0.1111111111111111,20,-13.743367906603208
195,-1.0,22,-14.743367906603208
196,1.0,22,-13.743367906603208
197,-0.5,34,-14.243367906603208
198,-5.5,27,-19.743367906603208
199,-2.25,14,-21.993367906603208
200,-1.0,40,-22.993367906603208
201,-4.0,10,-26.993367906603208
202,0.3333333333333333,3,-26.660034573269876
203,0.5333333333333334,16,-26.12670123993654
204,0.0,6,-26.12670123993654
205,0.33333333333333326,12,-25.79336790660321
206,-0.4,6,-26.193367906603207
207,-0.4,7,-26.593367906603206
208,4.833333333333334,10,-21.76003457326987
209,4.0,18,-17.76003457326987
210,2.0,9,-15.76003457326987
211,9.0,15,-6.76003457326987
212,0.0,4,-6.76003457326987
213,3.75,17,-3.01003457326987
214,-1.0,12,-4.01003457326987
215,-2.0,6,-6.01003457326987
216,0.0,2,-6.01003457326987
217,-3.4,10,-9.41003457326987
218,0.0,6,-9.41003457326987
219,-3.0,6,-12.41003457326987
220,-3.75,8,-16.16003457326987
221,-0.1428571428571428,10,-16.30289171612701
222,3.0,8,-13.30289171612701
223,-6.333333333333333,18,-19.636225049460343
224,0.9333333333333336,19,-18.70289171612701
225,3.0,20,-15.70289171612701
226,-2.25,10,-17.95289171612701
227,-5.0,2,-22.95289171612701
228,-2.0,5,-24.95289171612701
229,3.0,10,-21.95289171612701
230,1.0,15,-20.95289171612701
231,-2.6666666666666665,11,-23.619558382793677
232,0.0,1,-23.619558382793677
233,0.0,1,-23.619558382793677
234,-2.0,10,-25.619558382793677
235,0.0,3,-25.619558382793677
236,0.0,10,-25.619558382793677
237,1.0,3,-24.619558382793677
238,-1.8333333333333333,7,-26.45289171612701
239,-9.666666666666668,27,-36.11955838279368
240,-6.4,18,-42.519558382793676
241,0.9999999999999996,19,-41.519558382793676
242,-3.0,12,-44.519558382793676
243,1.083333333333334,42,-43.43622504946034
244,-1.0,13,-44.43622504946034
245,-1.0,11,-45.43622504946034
246,1.0,3,-44.43622504946034
247,1.0,8,-43.43622504946034
248,2.0,2,-41.43622504946034
249,1.0,10,-40.43622504946034
250,-2.0,6,-42.43622504946034
251,-2.0,7,-44.43622504946034
252,1.0,4,-43.43622504946034
253,3.428571428571429,39,-40.00765362088891
254,0.5,10,-39.50765362088891
255,2.2,2,-37.30765362088891
256,0.0,11,-37.30765362088891
257,2.916666666666667,26,-34.39098695422224
