Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
110,-2.55,33,-96.46873779814955,2417
111,-10.857142857142858,16,-107.32588065529241,2433
112,-13.000000000000002,34,-120.32588065529241,2467
113,-2.0,26,-122.32588065529241,2493
114,2.5,15,-119.82588065529241,2508
115,1.333333333333333,15,-118.49254732195908,2523
116,-5.0,23,-123.49254732195908,2546
117,-10.5,39,-133.99254732195908,2585
118,-4.666666666666667,23,-138.65921398862574,2608
119,-0.07142857142857117,23,-138.73064256005432,2631
120,1.3750000000000004,52,-137.35564256005432,2683
121,-2.3333333333333335,20,-139.68897589338766,2703
122,-3.0,19,-142.68897589338766,2722
123,-13.333333333333334,43,-156.022309226721,2765
124,1.666666666666667,22,-154.35564256005435,2787
125,4.375,24,-149.98064256005435,2811
126,1.0,20,-148.98064256005435,2831
127,4.0,17,-144.98064256005435,2848
128,3.333333333333333,18,-141.647309226721,2866
129,4.654761904761905,10,-136.9925473219591,2876
130,1.2000000000000002,18,-135.79254732195912,2894
131,0.3333333333333333,16,-135.45921398862578,2910
132,-10.5,30,-145.95921398862578,2940
133,6.0,21,-139.95921398862578,2961
134,0.3333333333333335,7,-139.62588065529243,2968
135,4.0,12,-135.62588065529243,2980
136,8.0,30,-127.62588065529243,3010
137,1.666666666666667,19,-125.95921398862576,3029
138,-5.000000000000001,13,-130.95921398862578,3042
139,0.6666666666666667,32,-130.29254732195912,3074
140,5.0,23,-125.29254732195912,3097
141,-8.5,21,-133.79254732195912,3118
142,-1.6666666666666663,25,-135.45921398862578,3143
143,-2.583333333333333,21,-138.04254732195912,3164
144,0.0,21,-138.04254732195912,3185
145,-8.0,18,-146.04254732195912,3203
